"Rank","Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","Overall"
"307","Jonathon Simmons","ORL","SG,SF","-0.11","-0.22","0.31","-0.03","-0.20","-1.47","0.10","-0.34","-0.40","-2.34"
"308","Wayne Selden","CHI","SG","-0.25","-0.48","-0.21","-0.40","-0.39","-0.54","-0.24","-0.13","0.25","-2.39"
"309","D.J. Wilson","MIL","PF","-0.62","-0.25","-0.61","-0.08","-0.67","0.10","-0.67","-0.31","0.71","-2.39"
"310","Wes Iwundu","ORL","SG,SF","-0.47","-0.38","-0.48","-0.29","-0.34","-0.62","0.25","-0.56","0.48","-2.41"
"311","Pau Gasol","SAS","PF,C","-0.69","-0.15","-0.36","-0.08","-0.90","0.12","-0.15","-0.72","0.48","-2.45"
"312","Harry Giles","SAC","PF,C","-0.34","-0.07","-0.20","-0.03","0.08","0.22","-1.09","-0.85","-0.19","-2.47"
"313","Jose Calderon","DET","PG","-0.68","-0.57","0.49","-0.61","-0.29","-0.61","0.06","-0.50","0.23","-2.48"
"314","Nene","HOU","PF,C","-0.71","-0.40","-0.67","-0.34","-0.71","0.30","-0.02","-0.85","0.92","-2.48"
"315","CJ Miles","TOR","SG,SF","-0.36","-0.50","-0.59","-0.29","-0.25","-1.38","0.04","0.22","0.59","-2.52"
"316","Antonio Blakeney","CHI","PG,SG","-0.02","-0.49","-0.58","-0.34","-0.57","-0.54","-0.49","0.01","0.46","-2.58"
"317","Jaron Blossomgame","CLE","SF","-0.66","-0.29","-0.72","-0.34","-0.71","0.04","0.01","-0.58","0.67","-2.59"
"318","Bobby Portis","CHI","PF,C","-0.21","0.14","-0.52","-0.40","-0.62","-0.39","-0.09","-0.29","-0.26","-2.63"
"319","Troy Daniels","PHO","PG,SG","-0.52","-0.77","-0.74","-0.66","-0.29","-0.37","0.05","0.17","0.47","-2.65"
"320","Kosta Koufos","SAC","PF,C","-0.67","0.03","-0.53","-0.08","-0.48","0.12","-0.56","-0.85","0.37","-2.66"
"321","Frank Jackson","NOR","PG","-0.38","-0.62","-0.47","-0.76","-0.53","-0.17","-0.02","-0.23","0.52","-2.66"
"322","Georges Niang","UTH","PF,SF","-0.65","-0.67","-0.62","-0.61","-0.76","-0.15","0.11","-0.18","0.86","-2.67"
"323","Thabo Sefolosha","UTH","SG,SF","-0.76","-0.43","-0.73","-0.71","0.04","0.12","-0.28","-0.50","0.53","-2.71"
"324","Kyle O'Quinn","IND","PF,C","-0.75","-0.50","-0.47","0.03","-0.90","0.08","0.14","-0.82","0.47","-2.74"
"325","Devonte' Graham","CHA","G","-0.64","-0.77","-0.15","-0.76","-0.34","-0.44","0.10","-0.31","0.51","-2.80"
"326","Ish Smith","DET","PG","-0.32","-0.64","0.02","-0.40","-0.48","-0.67","-0.18","-0.13","-0.01","-2.81"
"327","Wesley Johnson","NOR","SG,SF","-0.70","-0.57","-0.66","-0.40","-0.53","-0.24","-0.09","-0.34","0.69","-2.84"
"328","Abdel Nader","OKC","PF,SF","-0.61","-0.58","-0.75","-0.66","-0.71","0.14","0.01","-0.45","0.77","-2.85"
"329","Hamidou Diallo","OKC","G","-0.43","-0.29","-0.64","-0.24","-0.29","0.01","-0.90","-0.74","0.64","-2.88"
"330","Chris Boucher","TOR","PF,C","-0.83","-0.81","-0.85","0.08","-0.95","-0.07","0.11","-0.61","1.05","-2.88"
"331","Khem Birch","ORL","PF,C","-0.84","-0.62","-0.72","-0.24","-0.76","0.08","0.05","-0.85","0.98","-2.92"
"332","Ekpe Udoh","UTH","PF,C","-0.82","-0.71","-0.69","-0.03","-0.90","0.45","-0.28","-0.85","0.90","-2.93"
"333","Troy Williams","SAC","SG,SF","-0.68","-0.57","-0.73","-0.34","-0.57","-0.00","-0.25","-0.48","0.69","-2.93"
"334","Jonah Bolden","PHI","PF","-0.71","-0.30","-0.67","0.34","-0.76","0.13","-0.59","-0.53","0.13","-2.95"
